reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2OPSPL8LSSJPC,B0042F1L4S,Jared Jennings,"[5, 30]","My review(s) for this have changed a few times, but no more. When I first got it I liked the sound, though it did sound a little cold and digital, and this is from someone wanting to record shoegaze/dreampop, which by it's nature is full of cold tones (reverb/chorus/delay) shimmering, a la cocteau twins, chapterhouse, lush, so at first I thought it was great. Then the fuse software was even cooler, all this customizing the sound, though it did sound noisy and needed the compressor to take some of the noise away.After all of that I finally realized I was trying to ignore the fizz/crackle/hair, it's called a few things. Go to the fender forums and look it up, or search it on yahoo/google.The thing happening with this amp I think is a few things. Fender guitars sound best through it, which is silly if you don't own a fender, and I don't and refuse to get a squire as that body is so played out, I wanted ANYTHING but a strat body, unless I have a grand to pay for an older one, I'm not going to get a rinky dink one, and I would only get one after I got like 5 other dream guitars first.so everyone has different problems with pickup quality and guitar quality. Also, playing into a modeling amp is like playing into a computer, that may be fine for some (younger folks), but to a lot of people I've read the complaints I was trying not to realize, as I didn't feel like having to pay for shipping to return it, BUT I DID!And I am so glad I did. I almost got a peavey vypyr, and I am glad I didn't. This amp, to be fair, is really close to being really cool, but that sound problem, which I read on fender's own forum/website, FENDER ACKNOWLEDGES IT EXISTS, BUT DOES NOTHING TO FIX IT IN FUTURE MODELS!! sorry, but that's some big company b.s.I've been reading of people saying it sounds cold and lifeless and all that and tube this and tube that, and I was like ""what music snobs"" and what have you. But I realized that I'm a music snob! I love the music I listen to more than anything, and feel like the music I create should have a life to it as well. So I returned the mustang 2 and ALMOST got a marshall mg 30 watt, cause I wanted an amp with a clean sound that didn't have that crackle sound, but THANKFULLY I caught myself before that return, as after that, it would have been final.The decision I did make I think will be great for me, as I'd rather start with a good real tone, then get the effects I need. I kept reading reviews of these teenagers that hadn't played for more than a year or two or so saying ""throw away your pedals, you won't need them"" and ""I was going to get pedals, but don't need to now"", that's kind of the danger of these amps, they end up making everyone sound the same! No matter what tweaking I was doing on the mustang, it sounded the same but in a different costume.I think this amp and modeling amps are best for beginning guitarists and I've seen some old timers getting an amp for home use after years, maybe that's for them, but I needed something to record with and practice and get the best, most real tone possible, so that means tube amp.I think if I played this at a GC I wouldn't of gotten it, and I just tried to make myself like it.",1,"this amp is oooookay , fizzle/crackle, and noise when you aren't playing",1327363200,"01 24, 2012"
AA4BAIDEDJI3,B000CHJTG2,OfficeBoy,"[0, 0]","It's really not a 200w system.  The booklet even says it is only 100 watts, and I doubt it is really even that powerful.  The wireless microphone only works when you put your mouth about an inch from it.  My Shure XLR wired microphones do not work with it even with an adapter plug.  The instrument input works OK with my Taylor guitar, but it's not 100 watts loud.  I guess it's OK as a portable guitar amp in a small venue without any vocals.",1,It's really not a 200w system. The booklet even ...,1404604800,"07 6, 2014"
AC2S76UKUPIL4,B004Z8VQ2O,Tanner Hoke,"[0, 4]","What was thought to be a DOA model, ended up being a mistake on my behalf. My iPhone 4S, which I have had for about a year now, must've had enough damage and wear to the dock connector so that it works fine...unless trying to use the JAM.In The Box: Comes with a simple instruction manual that has about three steps.It comes with the JAM and two cables (USB and IOS). It is bigger than I had imaginedIt's almost the length of an iPhone. Feels nice, and is very light. The cords aren't very long.",1,"My iPhone 4S was not compatible, ended up returning it.",1361836800,"02 26, 2013"
A3MJARDJ31M698,B000T9NKEU,"S. Thompson ""Nothing""","[0, 30]","It was Not what I wanted. When A Person has a low Income We can Not afford what We can Not use. I was looking for what Is called Shimmer most Reverbs do Not have Shimmer as the RV600 Because Digitech called Shimmer, String Swell and Volume Swell Is linked to the Violin Sound It cost Me 30.00 Its called Slow Motion for a reason because It has to be played slow to hear the effect the only way to hear It Is with Over Drive being played on the high Strings. It might be good for playing with a Bow, I have No Idea because I can Not afford a Bow.",1,Cost Too Much,1275696000,"06 5, 2010"
A14XXL4GMWSI47,B0002II6V0,"Daryl J. Healey ""Daryl""","[1, 2]","I really wanted this to work, but it doesn't.  Don't bother,it doesn't mute the strings at all.  One star, just for it getting here on time.",1,Glaesel Violin Mute,1384300800,"11 13, 2013"
A2B58VXLLOFQKR,B0002CZV82,James Moulton,"[2, 30]","This is a cheap piece of junk that does what it says, it distorts, You want something to make your guitar sound like junk, this will do it. Why pedals that make your guitar sound like a piece of junk are the most popular is beyond me. This is not a boutique Distortion pedal like Hendrix would use. Boutique and distortion are an oxymoron.These things are built with heavy metal, it should last, I kinda hope it doesn't(just kidding), you want distortion, you got distortion",1,It distorts,1258070400,"11 13, 2009"
A2PX3NR1IVTXPG,B00646MZHK,"Michael Berish ""Michael Berish, author of &#3...","[1, 2]","I have had 2 of these tuners (you'd think I'd learn after one).  They calibrate okay , it's just that they tend to break where the swivel ball fits into the socket of the device (both of mine broke this way).  To me, for the price, it's made cheaply.  Try D'Addario instead; love their tuners.",1,Don't like,1395792000,"03 26, 2014"
A37WW789WSY81F,B007PKR3SK,Orcatrino,"[4, 7]","This product has an extremely flimsy spring mechanism inside.  Upon receiving mine and assembling it, it broke immediately while I was trying to mount an iPad onto it.  It also has a fairly narrow angle of adjustability.  The metal parts of it seemed sturdy enough but the plastic parts looked and felt brittle.",1,ChargerCity Microphone Stand Tablet Mount,1342569600,"07 18, 2012"
APVLFUAI3IDF7,B0002E54FK,linh,"[1, 11]","Just assembly for a try, only few rolls with music, it's had some hole on head, that's mean bad quality. buyer beware for this kind of.",1,terible cheap material product I saw,1369440000,"05 25, 2013"
ASSWUAOO49Z8Q,B007IE5QP0,"docpain ""docpain""","[2, 3]","kripes man..the one time I go and actually buy a ""honer"" and its a ""bummer"" this thing has 3 keys off tune!! I can buy stuff 10 times better quality from Chinaand never have this kinda junk. Maybe it's a fluke because everyone else gave it a thumbs up and I 'm really not the type a guy to go running stuff down butmaaan Ive never got a harp this trashy B4!...... all i can say is buy Merana's for tryin out buy ""suzuki"" or Swan"" from ebay/overseas if yer a poor guy like meand you'll be better off. Oh btw hot-tip for poor guys again--- you can get a ""Mississipi River Harp"" for only  $5.oo if you have a ""Burke's"" outlet near you!they're up by the counter and as good as the high dollar one made by unowho---- the Doctah has spoken! :)",1,Straight up Terr-Ash!,1326412800,"01 13, 2012"
